Title, ID, Acousticness, Danceability, Energy, Instrumentalness, Liveness, Loudness, Speechiness, Valence, Tempo, Popularity
Baby Got Back,1SAkL1mYNJlaqnBQxVZrRl,0.00458,0.933,0.666,0,0.0908,0.27177789035055416,0.308,0.635,0.5839363636363637,0.69
Ice Ice Baby,3XVozq1aeqsJwpXrEZrDJ9,0.0023,0.978,0.787,4.6e-06,0.102,0.7244710772774394,0.0394,0.597,0.5273,0.72
Barbie Girl,2RSOzvKUnfDDrb2nQPfpQU,0.0146,0.814,0.955,0.283,0.218,0.5055176373647134,0.0377,0.963,0.5908727272727272,0.65
boyfriend (with Social House),0Ryd8975WihbObpp5cPW1t,0.119,0.4,0.795,0,0.159,0.6498445998835362,0.461,0.702,0.8640772727272727,0.93
Freaky Friday (feat. Chris Brown),10Igtw8bSDyyFs7KIsKngZ,0.147,0.755,0.599,0,0.109,0.5585145098745781,0.224,0.755,0.6051045454545454,0.8
Africa,2374M0fQpWi3dLnB54qaLX,0.257,0.671,0.373,7.95e-05,0.0481,0.12407921190938098,0.0323,0.732,0.4214409090909091,0.86
Wagon Wheel,3xdjjKMcMOFgo1eQrfbogM,0.456,0.529,0.663,0,0.142,0.438404141822058,0.0306,0.592,0.6731909090909091,0.78
Summer Nights,0QkWubamAKEvvcOTriSKX3,0.0201,0.835,0.609,1.28e-06,0.107,0.5214737968140991,0.0336,0.781,0.5916090909090909,0.63
Higher Love,6oJ6le65B3SEqPwMRNXWjY,0.0154,0.693,0.678,6.05e-06,0.101,0.43734185582205043,0.0324,0.404,0.4725090909090909,0.93
Work Out,2wAJTrFhCnQyNSD3oUgTZO,0.0531,0.831,0.427,0,0.307,0.45046908356103604,0.106,0.216,0.4227454545454546,0.76
I Like It,58q2HKrzhC3ozto2nDdN4z,0.099,0.816,0.726,0,0.372,0.6301060935507773,0.129,0.65,0.6184000000000001,0.86
Titanium (feat. Sia),77TT8Xvx637TpzV8kKGkUw,0.069,0.599,0.803,0.137,0.129,0.6566364159439313,0.0986,0.233,0.5729863636363637,0.68
Chop Suey!,2DlHlPMa4M17kufBvI2lEN,0.000278,0.419,0.934,0.0015,0.132,0.636691613668507,0.12,0.286,0.5785818181818182,0.82
Rahhh (feat. Charlie Farley),1BS4VnfQMyFFcBqATWGkTj,0.00673,0.657,0.753,5.4e-06,0.108,0.5033033131619257,0.126,0.623,0.4681045454545455,0.31
Queen of Mean,4o05DiC0RQ9DNtGJGauwna,0.248,0.543,0.787,0,0.0778,0.4708480086936735,0.241,0.343,0.7895545454545454,0.77
Kiss Me Thru The Phone,2q4rjDy9WhaN3o9MvDbO21,0.0175,0.761,0.724,0,0.116,0.6433459619973347,0.111,0.815,0.6815272727272728,0.77
